country;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Afghanistan;31382.0;127012.0;31623.0;9942.0;9522.0;9901.0;23276.0;36358.0;51275.0;34149.0
Albanien;53805.0;14853.0;;;;;;;;
Eritrea;10876.0;18544.0;10226.0;5571.0;3520.0;2561.0;3168.0;3923.0;4116.0;3132.0
Georgien;;;;3329.0;2048.0;;;7963.0;8414.0;8414.0
Irak;29834.0;96116.0;21930.0;16333.0;13742.0;9846.0;15504.0;15175.0;11152.0;7839.0
Iran;26426.0;26045.0;8608.0;10857.0;8407.0;3120.0;2693.0;6322.0;9384.0;5230.0
Kolumbien;;;;;;;;;;3839.0
Kosovo;33427.0;;;;;;;;;
Nordmazedonien;9083.0;;;;;;;;;
Nigeria;12709.0;7907.0;7811.0;10168.0;9070.0;3303.0;;;;
Pakistan;8199.0;14484.0;8844.0;;;;;;;
Russische Föderation;10895.0;9985.0;4884.0;3938.0;;;2851.0;7663.0;;4698.0
Serbien;16700.0;;;;;;;;;
Somalia;;6836.0;5073.0;3572.0;2604.0;2640.0;3649.0;8938.0;5301.0;6953.0
Syrien;158657.0;266250.0;48974.0;44167.0;39270.0;36433.0;54903.0;70976.0;102930.0;76765.0
Türkei;8027.0;10620.0;10784.0;5784.0;5784.0;5784.0;7067.0;23938.0;61181.0;29177.0
Ungeklärt;11721.0;14659.0;10467.0;4220.0;3727.0;3903.0;5041.0;4672.0;4060.0;4737.0